fecha,temp_max,temp_min,temp_promedio,lluvia_mm,viento_kmh,ciudad,region,mes,mes_nombre,trimestre,categoria_lluvia,categoria_temp
2024-01-01,20.1,9.5,14.2,1.1,8.7,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-01-02,20.9,10.4,14.6,0.0,9.0,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-03,20.9,8.6,14.3,0.0,7.5,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-04,20.9,9.3,14.2,0.5,11.2,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-01-05,21.0,7.4,14.0,0.0,7.5,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-06,21.1,8.5,14.1,0.0,18.0,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-07,19.5,7.0,13.1,0.0,20.0,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-08,20.9,7.3,13.7,0.0,18.1,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-09,21.4,6.5,13.8,0.0,15.7,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-10,22.2,6.3,13.9,0.5,11.9,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-01-11,21.9,8.0,14.3,0.1,11.3,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-01-12,21.0,9.1,14.6,0.3,8.4,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-01-13,20.1,8.6,13.7,9.1,8.0,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-01-14,21.7,9.5,15.0,0.0,12.5,Bogotá,Andina,1,January,Q1,Sin lluvia,Templada
2024-01-15,21.6,8.3,14.2,0.0,18.5,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-16,20.0,7.0,13.4,0.0,17.5,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-17,21.7,7.3,14.0,0.1,16.1,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-01-18,22.1,8.0,14.4,0.0,16.6,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-19,21.2,8.1,14.5,0.0,19.7,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-20,21.6,8.6,14.5,0.0,19.5,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-21,20.6,10.2,14.8,0.4,18.6,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-01-22,22.3,9.4,14.8,0.0,18.4,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-23,22.0,7.4,14.4,0.0,19.6,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-24,23.5,7.1,14.5,0.0,18.3,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-25,25.0,7.1,14.9,0.0,12.6,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-26,23.6,7.1,14.4,0.0,16.6,Bogotá,Andina,1,January,Q1,Sin lluvia,Fría
2024-01-27,24.5,6.8,14.7,0.8,14.5,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-01-28,23.8,9.0,15.7,3.1,13.4,Bogotá,Andina,1,January,Q1,Lluvia leve,Templada
2024-01-29,23.3,10.9,16.0,0.0,16.3,Bogotá,Andina,1,January,Q1,Sin lluvia,Templada
2024-01-30,23.1,10.4,15.6,0.0,18.1,Bogotá,Andina,1,January,Q1,Sin lluvia,Templada
2024-01-31,22.1,7.5,14.6,1.9,9.9,Bogotá,Andina,1,January,Q1,Lluvia leve,Fría
2024-02-01,22.1,10.7,15.6,0.4,9.1,Bogotá,Andina,2,February,Q1,Lluvia leve,Templada
2024-02-02,20.4,11.4,14.9,0.5,11.9,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-03,20.7,10.9,15.0,15.2,13.1,Bogotá,Andina,2,February,Q1,Lluvia moderada,Templada
2024-02-04,19.4,11.1,14.3,14.7,6.9,Bogotá,Andina,2,February,Q1,Lluvia moderada,Fría
2024-02-05,18.4,11.2,14.2,4.2,8.7,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-06,19.4,9.7,14.0,3.2,10.0,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-07,20.8,9.1,14.3,3.1,12.0,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-08,21.4,10.9,15.1,1.0,8.4,Bogotá,Andina,2,February,Q1,Lluvia leve,Templada
2024-02-09,20.7,9.3,15.1,2.2,10.9,Bogotá,Andina,2,February,Q1,Lluvia leve,Templada
2024-02-10,20.1,11.3,14.9,3.1,14.5,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-11,21.1,7.2,14.1,0.4,12.8,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-12,22.5,8.9,15.0,0.0,11.3,Bogotá,Andina,2,February,Q1,Sin lluvia,Templada
2024-02-13,22.4,7.5,14.8,0.2,11.8,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-14,19.4,9.4,14.3,0.0,18.9,Bogotá,Andina,2,February,Q1,Sin lluvia,Fría
2024-02-15,21.1,10.2,15.0,0.0,20.2,Bogotá,Andina,2,February,Q1,Sin lluvia,Templada
2024-02-16,20.3,11.0,14.9,0.4,19.7,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-17,19.9,11.7,14.9,1.4,19.1,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-18,22.1,9.2,15.3,0.6,15.6,Bogotá,Andina,2,February,Q1,Lluvia leve,Templada
2024-02-19,23.7,7.6,14.7,1.1,13.4,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-20,23.1,8.0,14.6,3.1,17.4,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-21,21.8,10.1,15.0,0.1,19.5,Bogotá,Andina,2,February,Q1,Lluvia leve,Templada
2024-02-22,21.1,9.9,14.7,1.7,15.0,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-23,22.8,9.8,14.7,2.1,16.5,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-24,21.1,10.9,14.9,0.8,10.3,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-25,21.0,8.5,14.5,0.1,10.0,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-26,22.4,8.8,14.7,0.6,10.6,Bogotá,Andina,2,February,Q1,Lluvia leve,Fría
2024-02-27,21.3,11.2,15.0,1.6,12.4,Bogotá,Andina,2,February,Q1,Lluvia leve,Templada
2024-02-28,21.4,11.2,15.3,0.6,9.0,Bogotá,Andina,2,February,Q1,Lluvia leve,Templada
2024-02-29,21.9,11.0,15.4,1.0,14.1,Bogotá,Andina,2,February,Q1,Lluvia leve,Templada
2024-03-01,22.3,10.3,15.0,0.0,13.1,Bogotá,Andina,3,March,Q1,Sin lluvia,Templada
2024-03-02,22.6,8.4,14.5,5.8,11.5,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-03,20.5,10.8,14.7,1.4,8.0,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-04,20.9,11.4,14.9,2.9,7.9,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-05,21.1,11.7,15.6,1.7,12.7,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-06,22.3,11.5,15.8,0.0,14.6,Bogotá,Andina,3,March,Q1,Sin lluvia,Templada
2024-03-07,21.8,9.5,15.3,1.1,14.3,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-08,21.1,9.6,15.3,1.8,15.9,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-09,20.4,11.1,15.2,1.8,11.2,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-10,21.8,11.4,15.9,0.5,18.4,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-11,20.5,9.7,14.7,0.4,20.9,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-12,22.0,9.5,15.2,0.1,18.8,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-13,21.4,10.2,15.1,0.1,20.9,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-14,20.3,10.1,14.9,0.7,18.4,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-15,22.7,9.6,15.6,1.1,16.8,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-16,22.1,9.9,15.6,0.7,17.0,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-17,21.7,9.5,15.3,0.2,20.6,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-18,22.2,9.4,15.5,0.4,18.9,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-19,21.8,10.2,15.3,0.3,16.3,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-20,23.9,8.4,15.3,3.5,11.8,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-21,19.8,10.6,14.2,3.8,8.6,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-22,24.5,10.5,15.9,0.2,10.3,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-23,22.2,8.3,14.9,3.6,14.2,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-24,21.9,9.8,15.2,6.6,14.6,Bogotá,Andina,3,March,Q1,Lluvia leve,Templada
2024-03-25,20.4,10.4,14.5,15.1,14.4,Bogotá,Andina,3,March,Q1,Lluvia moderada,Fría
2024-03-26,20.1,9.4,14.4,5.0,14.1,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-27,20.0,9.2,14.5,0.4,17.2,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-28,20.1,9.4,14.6,2.0,13.8,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-29,19.0,10.5,14.7,1.2,12.5,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-30,20.1,9.3,14.4,1.8,11.4,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-03-31,20.2,8.4,14.0,3.1,11.7,Bogotá,Andina,3,March,Q1,Lluvia leve,Fría
2024-04-01,20.9,10.0,14.8,2.1,11.0,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-02,20.4,10.6,14.8,3.3,10.6,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-03,20.2,10.0,14.6,4.9,7.6,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-04,20.3,10.2,14.5,2.3,14.3,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-05,20.7,8.4,14.3,1.9,17.6,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-06,20.5,9.7,14.1,0.6,15.1,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-07,20.9,7.7,14.5,0.7,19.3,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-08,19.7,9.1,14.3,0.3,19.9,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-09,20.7,8.9,14.1,0.0,20.1,Bogotá,Andina,4,April,Q2,Sin lluvia,Fría
2024-04-10,21.6,7.6,14.1,0.0,18.4,Bogotá,Andina,4,April,Q2,Sin lluvia,Fría
2024-04-11,23.6,7.0,14.5,0.0,14.7,Bogotá,Andina,4,April,Q2,Sin lluvia,Fría
2024-04-12,22.2,8.7,15.1,0.0,17.6,Bogotá,Andina,4,April,Q2,Sin lluvia,Templada
2024-04-13,22.3,7.9,14.9,1.7,15.3,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-14,22.9,9.9,15.8,0.0,14.0,Bogotá,Andina,4,April,Q2,Sin lluvia,Templada
2024-04-15,23.1,10.5,16.1,0.0,17.1,Bogotá,Andina,4,April,Q2,Sin lluvia,Templada
2024-04-16,22.8,8.8,15.7,0.0,18.4,Bogotá,Andina,4,April,Q2,Sin lluvia,Templada
2024-04-17,24.0,8.4,15.3,1.9,10.7,Bogotá,Andina,4,April,Q2,Lluvia leve,Templada
2024-04-18,21.3,10.9,15.3,9.8,10.3,Bogotá,Andina,4,April,Q2,Lluvia leve,Templada
2024-04-19,19.1,11.8,15.0,16.3,11.4,Bogotá,Andina,4,April,Q2,Lluvia moderada,Templada
2024-04-20,20.2,11.3,14.8,9.1,9.2,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-21,19.4,12.2,14.5,15.2,9.7,Bogotá,Andina,4,April,Q2,Lluvia moderada,Fría
2024-04-22,16.1,11.6,13.3,15.8,6.4,Bogotá,Andina,4,April,Q2,Lluvia moderada,Fría
2024-04-23,19.9,10.4,14.8,0.9,9.0,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-24,19.9,10.8,14.7,0.5,16.1,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-25,20.1,9.1,14.2,0.0,14.7,Bogotá,Andina,4,April,Q2,Sin lluvia,Fría
2024-04-26,20.7,8.6,14.3,2.0,12.9,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-27,19.5,10.4,14.4,3.3,8.7,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-28,19.1,9.6,13.9,18.7,12.6,Bogotá,Andina,4,April,Q2,Lluvia moderada,Fría
2024-04-29,17.1,11.7,13.9,2.3,7.8,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-04-30,20.8,9.7,14.8,1.9,13.5,Bogotá,Andina,4,April,Q2,Lluvia leve,Fría
2024-05-01,20.0,11.4,15.2,1.9,14.5,Bogotá,Andina,5,May,Q2,Lluvia leve,Templada
2024-05-02,20.4,9.6,14.6,1.1,10.0,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-03,20.2,11.9,15.4,0.3,9.2,Bogotá,Andina,5,May,Q2,Lluvia leve,Templada
2024-05-04,20.0,10.3,14.5,0.8,10.7,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-05,19.8,11.5,14.6,12.9,14.0,Bogotá,Andina,5,May,Q2,Lluvia moderada,Fría
2024-05-06,20.6,9.6,14.7,1.3,14.5,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-07,20.8,9.6,15.1,0.9,15.0,Bogotá,Andina,5,May,Q2,Lluvia leve,Templada
2024-05-08,20.6,10.0,14.8,2.7,11.0,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-09,18.4,10.6,13.9,4.1,13.8,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-10,19.0,11.5,14.7,0.5,12.4,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-11,21.1,10.6,15.0,0.4,12.6,Bogotá,Andina,5,May,Q2,Lluvia leve,Templada
2024-05-12,19.6,9.7,14.3,20.7,9.6,Bogotá,Andina,5,May,Q2,Lluvia moderada,Fría
2024-05-13,20.5,11.4,15.1,0.9,16.6,Bogotá,Andina,5,May,Q2,Lluvia leve,Templada
2024-05-14,20.2,9.7,14.7,0.5,16.3,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-15,20.4,11.0,14.5,2.2,11.6,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-16,19.5,10.5,14.5,2.0,14.0,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-17,19.8,9.4,14.5,0.5,15.5,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-18,20.5,9.4,14.4,1.2,15.3,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-19,19.6,9.9,14.3,0.1,18.3,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-20,19.3,10.7,14.3,2.0,15.3,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-21,19.2,11.8,14.8,0.2,18.6,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-22,19.6,10.6,14.6,0.6,17.3,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-23,20.5,8.6,14.5,0.7,15.8,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-24,21.3,9.5,14.7,0.6,10.5,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-25,18.7,9.5,13.7,3.1,11.8,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-26,19.4,10.2,13.9,1.2,16.4,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-27,20.5,10.4,14.7,0.1,16.4,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-28,21.1,11.3,15.4,2.2,16.1,Bogotá,Andina,5,May,Q2,Lluvia leve,Templada
2024-05-29,18.3,11.5,14.4,28.1,16.3,Bogotá,Andina,5,May,Q2,Lluvia moderada,Fría
2024-05-30,19.0,11.4,14.2,6.2,15.8,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-05-31,19.0,11.4,14.4,0.7,20.9,Bogotá,Andina,5,May,Q2,Lluvia leve,Fría
2024-06-01,19.5,10.4,14.4,0.8,23.2,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-02,20.6,11.3,14.9,1.7,19.0,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-03,19.6,12.1,14.8,0.4,16.4,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-04,17.6,10.9,13.5,15.1,19.7,Bogotá,Andina,6,June,Q2,Lluvia moderada,Fría
2024-06-05,18.2,10.6,13.9,1.4,16.8,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-06,18.4,9.0,13.4,3.7,15.5,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-07,18.9,9.4,13.7,0.0,17.2,Bogotá,Andina,6,June,Q2,Sin lluvia,Fría
2024-06-08,19.6,9.7,13.9,0.6,17.6,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-09,19.5,9.9,14.2,2.0,10.5,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-10,19.9,10.8,14.7,0.9,14.5,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-11,18.5,10.3,13.8,0.9,17.8,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-12,19.5,7.6,13.6,0.6,16.6,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-13,20.4,9.4,14.3,6.2,15.8,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-14,19.9,9.8,14.7,1.7,11.5,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-15,18.4,9.7,13.9,1.8,12.1,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-16,16.8,9.7,12.9,3.1,19.4,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-17,19.9,6.7,13.4,0.9,14.0,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-18,19.7,9.0,13.8,1.0,12.0,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-19,17.8,10.9,14.0,2.8,11.1,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-20,19.3,9.3,13.9,1.9,14.6,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-21,18.9,9.1,13.8,0.4,17.9,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-22,19.4,8.8,14.0,0.5,11.3,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
2024-06-23,18.7,9.3,13.3,0.8,13.0,Bogotá,Andina,6,June,Q2,Lluvia leve,Fría
